,0,1,2,3
0,Bates/Free20/frank20.xml,20,[1.3333333333333333], three sides 
1,Bates/Free20/ivy20.xml,20,[1.6], three 
2,Bates/Free20/ivy20.xml,20,[1.6], four 
3,Bates/Free20/ivy20.xml,20,[1.6], five 
4,Bates/Free20/ivy20.xml,20,[1.6], si  
5,Bates/Free20/kent20.xml,20,[1.0769230769230769], three 
6,Bates/Free20/pete20.xml,20,[1.0], oh you ve got three 
7,Bates/Free20/pete20.xml,20,[1.0], one two three 
8,Bates/Free20/pete20.xml,20,[1.0], here s four 
9,Bates/Free20/pete20.xml,20,[1.0], five 
10,Bates/Free20/pete20.xml,20,[1.0], si  
11,Bates/Free20/pete20.xml,20,[1.0], seven 
12,Bates/Free20/sue20.xml,20,[1.1111111111111112], three 
13,Bates/Free20/sue20.xml,20,[1.1111111111111112], four 
14,Bates/Free28/amy28.xml,28,[1.4035087719298245], three bed 
15,Bates/Free28/doug28.xml,28,[4.857142857142857], three 
16,Bates/Free28/nan28.xml,28,[3.4210526315789473], oh we have three more 
17,Bates/Free28/nan28.xml,28,[3.4210526315789473], oh we have four more 
18,Bates/Free28/nan28.xml,28,[3.4210526315789473], do we have four more people 
19,Bates/Snack28/betty.xml,28,[1.36], three 
20,Bates/Snack28/betty.xml,28,[1.36], four 
21,Bates/Snack28/betty.xml,28,[1.36], five 
22,Bates/Snack28/betty.xml,28,[1.36], si  
23,Bates/Snack28/ivy.xml,28,[2.5588235294117645], you want to tell the lady what comes after the number nine 
24,Bates/Snack28/ivy.xml,28,[2.5588235294117645], what comes after nine 
25,Bates/Snack28/linda.xml,28,[2.9047619047619047], one two three 
,0,1,2,3
0,Bernstein/Children/Anne/anne1.xml,17,[1.25], three 
1,Bernstein/Children/Anne/anne1.xml,17,[1.25], four 
2,Bernstein/Children/Anne/anne2.xml,20,[6.0], what happened to five 
3,Bernstein/Children/Anne/anne2.xml,20,[6.0], five 
4,Bernstein/Children/Anne/anne2.xml,20,[6.0], two doggies and three 
5,Bernstein/Children/Anne/anne2.xml,20,[6.0], and four 
6,Bernstein/Children/Anne/anne2.xml,20,[6.0], and five what are these 
7,Bernstein/Children/Anne/anne2.xml,20,[6.0], and si  
8,Bernstein/Children/Anne/anne2.xml,20,[6.0], chairs and seven 
9,Bernstein/Children/Anne/anne2.xml,20,[6.0], and eight 
10,Bernstein/Children/Anne/anne2.xml,20,[6.0], and nine 
11,Bernstein/Children/Anne/anne2.xml,20,[6.0], ten crayons 
12,Bernstein/Children/Anne/anne2.xml,20,[6.0], you want the boy to put three on 
13,Bernstein/Children/Anne/anne2.xml,20,[6.0], one two three 
14,Bernstein/Children/Anne/anne2.xml,20,[6.0], four turtle 
15,Bernstein/Children/Anne/anne2.xml,20,[6.0], three okay whoops let s put this one down here 
16,Bernstein/Children/Anne/anne3a.xml,22,[4.285714285714286], a lion yeah there s one two three four five si  
17,Bernstein/Children/Cindy/cindy1.xml,[None],[0], one little two little three little ducks 
18,Bernstein/Children/Cindy/cindy2.xml,22,[0], that s right there are five cups 
19,Bernstein/Children/Cindy/cindy2.xml,22,[0], we skipped over the five we didn t see three 
20,Bernstein/Children/Cindy/cindy2.xml,22,[0], three 
21,Bernstein/Children/Cindy/cindy2.xml,22,[0], oh there are seven little 
22,Bernstein/Children/Cindy/cindy2.xml,22,[0], there are eight big balloons 
23,Bernstein/Children/Cindy/cindy2.xml,22,[0], and there are nine flowers 
24,Bernstein/Children/Cindy/cindy2.xml,22,[0], roses daisies four o clocks 
25,Bernstein/Children/Cindy/cindy2.xml,22,[0], there s three trains 
26,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], ah seven 
27,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], don t forget seven 
28,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], one three eight 
29,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], si  nine five what is that 
30,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], si  what 
31,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], it s seven 
32,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], seven duckies 
33,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], there re eight balloons there 
34,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], that is a rose there are nine roses 
35,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], an there re ten 
36,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], ten crayons 
37,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], seven 
38,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], you say seven for me 
39,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], there s three 
40,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], there s four 
41,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], there five 
42,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], and there s si  
43,Bernstein/Children/Cindy/cindy3.xml,24,[1.0], there would be seven after si  
44,Bernstein/Children/Dale/dale1.xml,17,[2.0], one boy three kitties 
45,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], one two three 
46,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], five 
47,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], five 
48,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], one two one two three 
49,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], four 
50,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], we ll see you at four o clock alright and bring jake with you okay 
51,Bernstein/Children/Gail/gail2.xml,23,[2.3333333333333335], seven duckies 
52,Bernstein/Children/Gail/gail2.xml,23,[2.3333333333333335], i see seven duckies 
53,Bernstein/Children/Gail/gail3.xml,25,[1.0], seven 
54,Bernstein/Children/Gail/gail3.xml,25,[1.0], yes sir yes sir three bags 
55,Bernstein/Children/Gail/gail3.xml,25,[1.0], eight 
56,Bernstein/Children/Gail/gail3.xml,25,[1.0], right one two three and then what 
57,Bernstein/Children/Gail/gail3.xml,25,[1.0], one two three four 
58,Bernstein/Children/Gail/gail3.xml,25,[1.0], only seven 
59,Bernstein/Children/Gail/gail3.xml,25,[1.0], seven duckies 
